Local time,Open,High,Low,Close,Volume
13.06.2013 23:00:00.000 GMT+0200,0.92154,0.92696,0.91956,0.92100,151954.44030000002
14.06.2013 23:00:00.000 GMT+0200,0.92100,0.92100,0.92100,0.92100,0
15.06.2013 23:00:00.000 GMT+0200,0.92100,0.92100,0.92100,0.92100,0
16.06.2013 23:00:00.000 GMT+0200,0.92117,0.92714,0.92075,0.92255,110396.13029999999
17.06.2013 23:00:00.000 GMT+0200,0.92254,0.92620,0.91756,0.91975,128133.95130000002
18.06.2013 23:00:00.000 GMT+0200,0.91977,0.93214,0.91799,0.92765,128761.92899999999
19.06.2013 23:00:00.000 GMT+0200,0.92766,0.93605,0.92507,0.92734,198848.5901
20.06.2013 23:00:00.000 GMT+0200,0.92713,0.93678,0.92416,0.93427,148237.5913
21.06.2013 23:00:00.000 GMT+0200,0.93427,0.93427,0.93427,0.93427,0
22.06.2013 23:00:00.000 GMT+0200,0.93427,0.93427,0.93427,0.93427,0
23.06.2013 23:00:00.000 GMT+0200,0.93610,0.93804,0.93122,0.93295,158628.91170000003
24.06.2013 23:00:00.000 GMT+0200,0.93296,0.94074,0.93187,0.93782,138311.1195
25.06.2013 23:00:00.000 GMT+0200,0.93790,0.94431,0.93724,0.94269,140001.7395
26.06.2013 23:00:00.000 GMT+0200,0.94269,0.94875,0.94060,0.94502,130191.75839999998
27.06.2013 23:00:00.000 GMT+0200,0.94500,0.94746,0.94110,0.94479,135077.6898
28.06.2013 23:00:00.000 GMT+0200,0.94479,0.94479,0.94479,0.94479,0
29.06.2013 23:00:00.000 GMT+0200,0.94479,0.94479,0.94479,0.94479,0
30.06.2013 23:00:00.000 GMT+0200,0.94557,0.95031,0.94378,0.94507,112551.6789
01.07.2013 23:00:00.000 GMT+0200,0.94508,0.95291,0.94446,0.95056,112131.57969999999
02.07.2013 23:00:00.000 GMT+0200,0.95055,0.95229,0.94466,0.94635,132073.17020000002
03.07.2013 23:00:00.000 GMT+0200,0.94635,0.95839,0.94587,0.95609,106345.009
04.07.2013 23:00:00.000 GMT+0200,0.95609,0.96604,0.95577,0.96313,129726.37950000001
05.07.2013 23:00:00.000 GMT+0200,0.96313,0.96313,0.96313,0.96313,0
06.07.2013 23:00:00.000 GMT+0200,0.96313,0.96313,0.96313,0.96313,0
07.07.2013 23:00:00.000 GMT+0200,0.96527,0.96662,0.96250,0.96344,104444.27019999998
08.07.2013 23:00:00.000 GMT+0200,0.96344,0.97508,0.96315,0.97263,129585.28029999998
09.07.2013 23:00:00.000 GMT+0200,0.97263,0.97444,0.95765,0.95781,132558.38009999998
10.07.2013 23:00:00.000 GMT+0200,0.95791,0.95954,0.94042,0.94690,186039.55
11.07.2013 23:00:00.000 GMT+0200,0.94687,0.95135,0.94381,0.94620,114449.48079999999
12.07.2013 23:00:00.000 GMT+0200,0.94620,0.94620,0.94620,0.94620,0
13.07.2013 23:00:00.000 GMT+0200,0.94620,0.94620,0.94620,0.94620,0
14.07.2013 23:00:00.000 GMT+0200,0.94507,0.95339,0.94492,0.94813,129266.3695
15.07.2013 23:00:00.000 GMT+0200,0.94811,0.94950,0.93784,0.93896,135220.98999999996
16.07.2013 23:00:00.000 GMT+0200,0.93896,0.94453,0.93590,0.94095,135926.8095
17.07.2013 23:00:00.000 GMT+0200,0.94095,0.94775,0.94052,0.94453,111207.20000000001
18.07.2013 23:00:00.000 GMT+0200,0.94453,0.94613,0.93965,0.94087,103792.3406
19.07.2013 23:00:00.000 GMT+0200,0.94087,0.94087,0.94087,0.94087,0
20.07.2013 23:00:00.000 GMT+0200,0.94087,0.94087,0.94087,0.94087,0
21.07.2013 23:00:00.000 GMT+0200,0.94092,0.94152,0.93220,0.93603,184461.58759999997
22.07.2013 23:00:00.000 GMT+0200,0.93604,0.94065,0.93418,0.93477,215294.15149999998
23.07.2013 23:00:00.000 GMT+0200,0.93478,0.93882,0.93399,0.93717,228180.75110000005
24.07.2013 23:00:00.000 GMT+0200,0.93724,0.93945,0.92827,0.92940,217322.94090000002
25.07.2013 23:00:00.000 GMT+0200,0.92947,0.93045,0.92635,0.92831,216760.8692
26.07.2013 23:00:00.000 GMT+0200,0.92831,0.92831,0.92831,0.92831,0
27.07.2013 23:00:00.000 GMT+0200,0.92831,0.92831,0.92831,0.92831,0
28.07.2013 23:00:00.000 GMT+0200,0.92810,0.93218,0.92694,0.93097,103312.44099999999
29.07.2013 23:00:00.000 GMT+0200,0.93097,0.93239,0.92728,0.92961,105769.1997
30.07.2013 23:00:00.000 GMT+0200,0.92961,0.93367,0.92277,0.92600,142540.83970000004
31.07.2013 23:00:00.000 GMT+0200,0.92606,0.93719,0.92529,0.93671,129282.8205
01.08.2013 23:00:00.000 GMT+0200,0.93672,0.93892,0.92738,0.92890,120108.23970000002
02.08.2013 23:00:00.000 GMT+0200,0.92890,0.92890,0.92890,0.92890,0
03.08.2013 23:00:00.000 GMT+0200,0.92890,0.92890,0.92890,0.92890,0
04.08.2013 23:00:00.000 GMT+0200,0.92914,0.93323,0.92687,0.92722,99626.9996
05.08.2013 23:00:00.000 GMT+0200,0.92722,0.92960,0.92380,0.92567,106255.3201
06.08.2013 23:00:00.000 GMT+0200,0.92566,0.92882,0.92070,0.92151,121716.3521
07.08.2013 23:00:00.000 GMT+0200,0.92151,0.92289,0.91744,0.92002,110837.18010000001
08.08.2013 23:00:00.000 GMT+0200,0.92003,0.92291,0.91905,0.92230,84114.53
09.08.2013 23:00:00.000 GMT+0200,0.92230,0.92230,0.92230,0.92230,0
10.08.2013 23:00:00.000 GMT+0200,0.92230,0.92230,0.92230,0.92230,0
11.08.2013 23:00:00.000 GMT+0200,0.92332,0.92843,0.92162,0.92555,84059.68
12.08.2013 23:00:00.000 GMT+0200,0.92555,0.93480,0.92549,0.93274,110956.9201
13.08.2013 23:00:00.000 GMT+0200,0.93273,0.93771,0.93243,0.93539,100409.4299
14.08.2013 23:00:00.000 GMT+0200,0.93541,0.93958,0.92474,0.92591,139308.0606
15.08.2013 23:00:00.000 GMT+0200,0.92589,0.92875,0.92169,0.92608,119685.1196
16.08.2013 23:00:00.000 GMT+0200,0.92608,0.92608,0.92608,0.92608,0
17.08.2013 23:00:00.000 GMT+0200,0.92608,0.92608,0.92608,0.92608,0
18.08.2013 23:00:00.000 GMT+0200,0.92587,0.92848,0.92282,0.92386,97037.42860000001
19.08.2013 23:00:00.000 GMT+0200,0.92385,0.92506,0.91469,0.91726,119045.4894
20.08.2013 23:00:00.000 GMT+0200,0.91725,0.92351,0.91621,0.92224,119135.85990000001
21.08.2013 23:00:00.000 GMT+0200,0.92224,0.92895,0.92182,0.92312,110109.78039999999
22.08.2013 23:00:00.000 GMT+0200,0.92311,0.92631,0.91896,0.92176,118573.15020000002
23.08.2013 23:00:00.000 GMT+0200,0.92176,0.92176,0.92176,0.92176,0
24.08.2013 23:00:00.000 GMT+0200,0.92176,0.92176,0.92176,0.92176,0
25.08.2013 23:00:00.000 GMT+0200,0.92105,0.92462,0.92032,0.92293,66308.04990000001
26.08.2013 23:00:00.000 GMT+0200,0.92293,0.92298,0.91708,0.91734,109218.3802
27.08.2013 23:00:00.000 GMT+0200,0.91734,0.92349,0.91704,0.92212,114429.4207
28.08.2013 23:00:00.000 GMT+0200,0.92208,0.93210,0.92168,0.93076,115543.3586
29.08.2013 23:00:00.000 GMT+0200,0.93079,0.93321,0.92885,0.92989,104648.2992
30.08.2013 23:00:00.000 GMT+0200,0.92989,0.92989,0.92989,0.92989,0
31.08.2013 23:00:00.000 GMT+0200,0.92989,0.92989,0.92989,0.92989,0
01.09.2013 23:00:00.000 GMT+0200,0.93146,0.93487,0.93093,0.93428,75270.5604
02.09.2013 23:00:00.000 GMT+0200,0.93429,0.93825,0.93401,0.93646,101146.09889999998
03.09.2013 23:00:00.000 GMT+0200,0.93646,0.93822,0.93475,0.93524,90270.7599
04.09.2013 23:00:00.000 GMT+0200,0.93524,0.94546,0.93504,0.94481,111973.88990000004
05.09.2013 23:00:00.000 GMT+0200,0.94480,0.94552,0.93459,0.93731,107411.5002
06.09.2013 23:00:00.000 GMT+0200,0.93731,0.93731,0.93731,0.93731,0
07.09.2013 23:00:00.000 GMT+0200,0.93731,0.93731,0.93731,0.93731,0
08.09.2013 23:00:00.000 GMT+0200,0.93892,0.93917,0.93011,0.93230,80144.28039999999
09.09.2013 23:00:00.000 GMT+0200,0.93229,0.93664,0.93162,0.93472,85390.5701
10.09.2013 23:00:00.000 GMT+0200,0.93469,0.93708,0.92848,0.93017,94647.6599
11.09.2013 23:00:00.000 GMT+0200,0.93015,0.93345,0.92717,0.93047,97998.93029999999
12.09.2013 23:00:00.000 GMT+0200,0.93045,0.93410,0.92800,0.92955,89169.65010000003
13.09.2013 23:00:00.000 GMT+0200,0.92955,0.92955,0.92955,0.92955,0
14.09.2013 23:00:00.000 GMT+0200,0.92955,0.92955,0.92955,0.92955,0
15.09.2013 23:00:00.000 GMT+0200,0.92327,0.92778,0.92284,0.92729,81145.5297
16.09.2013 23:00:00.000 GMT+0200,0.92724,0.92788,0.92527,0.92578,71499.8301
17.09.2013 23:00:00.000 GMT+0200,0.92572,0.92680,0.91087,0.91197,109967.401
18.09.2013 23:00:00.000 GMT+0200,0.91197,0.91375,0.90897,0.91045,119844.46019999997
19.09.2013 23:00:00.000 GMT+0200,0.91046,0.91266,0.90889,0.91003,106321.18990000001
20.09.2013 23:00:00.000 GMT+0200,0.91003,0.91003,0.91003,0.91003,0
21.09.2013 23:00:00.000 GMT+0200,0.91003,0.91003,0.91003,0.91003,0
22.09.2013 23:00:00.000 GMT+0200,0.90821,0.91296,0.90821,0.91088,94471.53
23.09.2013 23:00:00.000 GMT+0200,0.91088,0.91329,0.90988,0.91265,81187.26030000001
24.09.2013 23:00:00.000 GMT+0200,0.91263,0.91372,0.90784,0.90918,78828.6704
25.09.2013 23:00:00.000 GMT+0200,0.90918,0.91169,0.90870,0.91017,79764.8999
26.09.2013 23:00:00.000 GMT+0200,0.91017,0.91104,0.90209,0.90554,80222.4893
